"first_name","last_name","team","team_abbr","position","number","height"
"Wes","Iwundu","Magic","ORL","Forward","25",79
"Jaren","Jackson Jr.","Grizzlies","MEM","Forward-Center","13",83
"Demetrius","Jackson","Sixers","PHI","Guard","11",73
"Frank","Jackson","Pelicans","NOP","Guard","15",75
"Josh","Jackson","Suns","PHX","Forward","20",80
"Justin","Jackson","Kings","SAC","Forward","25",80
"Reggie","Jackson","Pistons","DET","Guard","1",75
"LeBron","James","Lakers","LAL","Forward","23",80
"Amile","Jefferson","Magic","ORL","Forward","11",81
"Jonas","Jerebko","Warriors","GSW","Forward","21",82
"Alize","Johnson","Pacers","IND","Forward","24",81
"Amir","Johnson","Sixers","PHI","Center-Forward","5",81
"James","Johnson","Heat","MIA","Forward","16",80
"Stanley","Johnson","Pistons","DET","Forward","7",79
"Tyler","Johnson","Heat","MIA","Guard","8",76
"Wesley","Johnson","Pelicans","NOP","Forward-Guard","33",79
"Nikola","Jokic","Nuggets","DEN","Center","15",84
"Derrick","Jones Jr.","Heat","MIA","Forward-Guard","5",79
"Damian","Jones","Warriors","GSW","Center","15",84
"Tyus","Jones","Timberwolves","MIN","Guard","1",74
"DeAndre","Jordan","Mavericks","DAL","Center","6",83
"Cory","Joseph","Pacers","IND","Guard","6",75
"Frank","Kaminsky","Hornets","CHA","Forward-Center","44",84
"Enes","Kanter","Knicks","NYK","Center","00",83
"Luke","Kennard","Pistons","DET","Guard","5",77
"Michael","Kidd-Gilchrist","Hornets","CHA","Forward","14",79
"George","King","Suns","PHX","Forward","8",78
"Maxi","Kleber","Mavericks","DAL","Forward","42",83
"Brandon","Knight","Rockets","HOU","Guard","2",75
"Kevin","Knox","Knicks","NYK","Forward","20",81
"Furkan","Korkmaz","Sixers","PHI","Guard-Forward","30",79
"Luke","Kornet","Knicks","NYK","Forward-Center","2",85
"Kyle","Korver","Cavaliers","CLE","Guard-Forward","26",79
"Kosta","Koufos","Kings","SAC","Center","41",84
"Rodions","Kurucs","Nets","BKN","Forward","00",81
"Kyle","Kuzma","Lakers","LAL","Forward","0",81
"Skal","Labissiere","Kings","SAC","Forward","7",83
"Jeremy","Lamb","Hornets","CHA","Guard","3",77
"Zach","LaVine","Bulls","CHI","Guard","8",77
"Jake","Layman","Blazers","POR","Forward","10",81
"TJ","Leaf","Pacers","IND","Forward","22",82
"Courtney","Lee","Knicks","NYK","Guard","5",77
"Damion","Lee","Warriors","GSW","Guard","1",78
"Alex","Len","Hawks","ATL","Center","25",85
"Kawhi","Leonard","Raptors","TOR","Forward","2",79
"Meyers","Leonard","Blazers","POR","Forward-Center","11",85
"Jon","Leuer","Pistons","DET","Forward","30",82
"Caris","LeVert","Nets","BKN","Guard","22",79
"Damian","Lillard","Blazers","POR","Guard","0",75
"Jeremy","Lin","Hawks","ATL","Guard","7",75
"Shaun","Livingston","Warriors","GSW","Guard","34",79
"Zach","Lofton","Pistons","DET","Guard","18",76
"Kevon","Looney","Warriors","GSW","Forward","5",81
"Brook","Lopez","Bucks","MIL","Center","11",84
"Robin","Lopez","Bulls","CHI","Center","42",84
"Kevin","Love","Cavaliers","CLE","Forward-Center","0",82
"Kyle","Lowry","Raptors","TOR","Guard","7",73
"Jordan","Loyd","Raptors","TOR","Guard","8",76
"Timothe","Luwawu-Cabarrot","Thunder","OKC","Guard-Forward","7",78
"Tyler","Lydon","Nuggets","DEN","Forward","20",82
"Trey","Lyles","Nuggets","DEN","Forward","7",82
"Shelvin","Mack","Grizzlies","MEM","Guard","6",75
"Daryl","Macon","Mavericks","DAL","Guard","3",75
"J.P.","Macura","Hornets","CHA","Guard","55",77
"Ian","Mahinmi","Wizards","WAS","Center","28",83
"Thon","Maker","Bucks","MIL","Forward","7",85
"Boban","Marjanovic","Clippers","LAC","Center","51",87
"Lauri","Markkanen","Bulls","CHI","Forward","24",84
"Jarell","Martin","Magic","ORL","Forward","2",82
"Frank","Mason","Kings","SAC","Guard","10",71
"Yante","Maten","Heat","MIA","Forward","00",80
"Wesley","Matthews","Mavericks","DAL","Guard-Forward","23",77
"Luc","Mbah a Moute","Clippers","LAC","Forward","12",80
"CJ","McCollum","Blazers","POR","Guard","3",75
"T.J.","McConnell","Sixers","PHI","Guard","12",74
"Doug","McDermott","Pacers","IND","Forward","20",80
"JaVale","McGee","Lakers","LAL","Center","7",84
"Rodney","McGruder","Heat","MIA","Forward-Guard","17",76
"Alfonzo","McKinnie","Warriors","GSW","Forward","28",80
"Ben","McLemore","Kings","SAC","Guard","23",77
"Jordan","McRae","Wizards","WAS","Guard","52",77
"Jodie","Meeks","Bucks","MIL","Guard","20",76
"Salah","Mejri","Mavericks","DAL","Center","50",86
"De'Anthony","Melton","Suns","PHX","Guard","14",76
"Chimezie","Metu","Spurs","SAS","Forward","7",82
"Khris","Middleton","Bucks","MIL","Forward","22",80
"CJ","Miles","Raptors","TOR","Forward-Guard","0",78
"Darius","Miller","Pelicans","NOP","Forward","21",80
"Paul","Millsap","Nuggets","DEN","Forward","4",80
"Patty","Mills","Spurs","SAS","Guard","8",72
"Shake","Milton","Sixers","PHI","Guard","18",78
"Nikola","Mirotic","Pelicans","NOP","Forward","3",82
"Donovan","Mitchell","Jazz","UTA","Guard","45",75
"Naz","Mitrou-Long","Jazz","UTA","Guard","30",76
"Malik","Monk","Hornets","CHA","Guard","1",75
"Greg","Monroe","Raptors","TOR","Center","15",83
"Ben","Moore","Spurs","SAS","Forward","26",80
"E'Twaun","Moore","Pelicans","NOP","Guard","55",76
"Jaylen","Morris","Bucks","MIL","Guard","30",77
"Marcus","Morris","Celtics","BOS","Forward","13",81
"Markieff","Morris","Wizards","WAS","Forward","5",82
"Monte","Morris","Nuggets","DEN","Guard","11",75
"Johnathan","Motley","Clippers","LAC","Forward","15",82
"Timofey","Mozgov","Magic","ORL","Center","21",85
"Emmanuel","Mudiay","Knicks","NYK","Guard","1",77
"Dejounte","Murray","Spurs","SAS","Guard","5",77
"Jamal","Murray","Nuggets","DEN","Guard","27",76
"Dzanan","Musa","Nets","BKN","Guard-Forward","30",81
"Mike","Muscala","Sixers","PHI","Forward-Center","31",83
"Svi","Mykhailiuk","Lakers","LAL","Guard","10",80
"Abdel","Nader","Thunder","OKC","Forward","11",78
"Larry","Nance Jr.","Cavaliers","CLE","Forward","22",81
"Shabazz","Napier","Nets","BKN","Guard","13",73
"Nene","","Rockets","HOU","Center-Forward","42",83
"Raul","Neto","Jazz","UTA","Guard","25",73
"Georges","Niang","Jazz","UTA","Forward","31",80
"Nerlens","Noel","Thunder","OKC","Forward-Center","3",83
"Dirk","Nowitzki","Mavericks","DAL","Forward","41",84
"Frank","Ntilikina","Knicks","NYK","Guard","11",78
"James","Nunnally","Timberwolves","MIN","Forward","7",79
"Jusuf","Nurkic","Blazers","POR","Center","27",84
"David","Nwaba","Cavaliers","CLE","Guard","12",76
"Royce","O'Neale","Jazz","UTA","Forward","23",78
"Kyle","O'Quinn","Pacers","IND","Center","10",82
"Semi","Ojeleye","Celtics","BOS","Forward","37",79
"Jahlil","Okafor","Pelicans","NOP","Center","8",83
"Elie","Okobo","Suns","PHX","Guard","2",75
"Josh","Okogie","Timberwolves","MIN","Guard","20",76
"Victor","Oladipo","Pacers","IND","Guard","4",76
"Kelly","Olynyk","Heat","MIA","Forward","9",84
"Cedi","Osman","Cavaliers","CLE","Forward","16",80
"Kelly","Oubre Jr.","Wizards","WAS","Forward","12",79
"Zaza","Pachulia","Pistons","DET","Center","27",83
"Jabari","Parker","Bulls","CHI","Forward","2",80
"Tony","Parker","Hornets","CHA","Guard","9",74
"Chandler","Parsons","Grizzlies","MEM","Forward","25",82
"Patrick","Patterson","Thunder","OKC","Forward","54",81
"Justin","Patton","Sixers","PHI","Center","0",84
"Chris","Paul","Rockets","HOU","Guard","3",72
"Cameron","Payne","Bulls","CHI","Guard","22",75
"Elfrid","Payton","Pelicans","NOP","Guard","4",76
"Theo","Pinson","Nets","BKN","Guard-Forward","10",78
"Mason","Plumlee","Nuggets","DEN","Forward-Center","24",83
"Miles","Plumlee","Hawks","ATL","Center","18",83
"Jakob","Poeltl","Spurs","SAS","Center","25",84
"Quincy","Pondexter","Spurs","SAS","Forward","3",79
"Michael","Porter Jr.","Nuggets","DEN","Forward","1",82
"Otto","Porter Jr.","Wizards","WAS","Forward","22",80
"Bobby","Portis","Bulls","CHI","Forward","5",83
"Kristaps","Porzingis","Knicks","NYK","Forward-Center","6",87
"Dwight","Powell","Mavericks","DAL","Forward-Center","7",83
"Norman","Powell","Raptors","TOR","Forward-Guard","24",76
"Alex","Poythress","Hawks","ATL","Forward","22",81
"Billy","Preston","Cavaliers","CLE","Forward","20",82
"Taurean","Prince","Hawks","ATL","Forward","12",80
"Zhou","Qi","Rockets","HOU","Forward-Center","9",85
"Ivan","Rabb","Grizzlies","MEM","Forward","10",82
"Chasson","Randle","Wizards","WAS","Guard","9",74
"Julius","Randle","Pelicans","NOP","Forward","30",81
"Zach","Randolph","Kings","SAC","Forward","50",81
"JJ","Redick","Sixers","PHI","Guard","17",76
"Davon","Reed","Pacers","IND","Guard","32",77
"Josh","Richardson","Heat","MIA","Guard-Forward","0",78
"Malachi","Richardson","Raptors","TOR","Guard","22",78
"Austin","Rivers","Wizards","WAS","Guard","1",76
"Andre","Roberson","Thunder","OKC","Guard-Forward","21",79
"Glenn","Robinson III","Pistons","DET","Guard-Forward","22",78
"Devin","Robinson","Wizards","WAS","Forward","7",80
"Duncan","Robinson","Heat","MIA","Forward","55",80
"Jerome","Robinson","Clippers","LAC","Guard","10",77
"Mitchell","Robinson","Knicks","NYK","Center","26",85
"Rajon","Rondo","Lakers","LAL","Guard","9",73
"Derrick","Rose","Timberwolves","MIN","Guard","25",75
"Terrence","Ross","Magic","ORL","Guard-Forward","31",79
"Terry","Rozier","Celtics","BOS","Guard","12",73
"Ricky","Rubio","Jazz","UTA","Guard","3",76
"D'Angelo","Russell","Nets","BKN","Guard","1",77
"Domantas","Sabonis","Pacers","IND","Forward","11",83
"Dario","Saric","Timberwolves","MIN","Forward","36",82
"Tomas","Satoransky","Wizards","WAS","Guard-Forward","31",79
"Dennis","Schroder","Thunder","OKC","Guard","17",73
"Mike","Scott","Clippers","LAC","Forward","30",80
"Thabo","Sefolosha","Jazz","UTA","Forward","22",79
"Wayne","Selden","Grizzlies","MEM","Guard-Forward","7",77
"Collin","Sexton","Cavaliers","CLE","Guard","2",74
"Landry","Shamet","Sixers","PHI","Guard","1",77
"Iman","Shumpert","Kings","SAC","Guard","9",77
"Pascal","Siakam","Raptors","TOR","Forward","43",81
"Ben","Simmons","Sixers","PHI","Guard-Forward","25",82
"Jonathon","Simmons","Magic","ORL","Forward","17",78
"Anfernee","Simons","Blazers","POR","Guard","24",76
"Marcus","Smart","Celtics","BOS","Guard","36",76
"Dennis","Smith Jr.","Mavericks","DAL","Guard","1",75
"Ish","Smith","Pistons","DET","Guard","14",72
"Jason","Smith","Wizards","WAS","Forward-Center","14",84
"Zhaire","Smith","Sixers","PHI","Guard","8",76
"Tony","Snell","Bucks","MIL","Guard","21",79
"Ray","Spalding","Mavericks","DAL","Forward","26",82
"Omari","Spellman","Hawks","ATL","Forward","6",81
"Nik","Stauskas","Blazers","POR","Guard","6",78
"DJ","Stephens","Grizzlies","MEM","Guard-Forward","20",77
"Lance","Stephenson","Lakers","LAL","Guard","6",78
"Edmond","Sumner","Pacers","IND","Guard","5",78
"Caleb","Swanigan","Blazers","POR","Forward","50",81
"Jayson","Tatum","Celtics","BOS","Forward","0",80
"Jeff","Teague","Timberwolves","MIN","Guard","0",74
"Garrett","Temple","Grizzlies","MEM","Guard-Forward","17",78
"Milos","Teodosic","Clippers","LAC","Guard","4",77
"Jared","Terrell","Timberwolves","MIN","Guard","3",75
"Daniel","Theis","Celtics","BOS","Forward","27",80
"Isaiah","Thomas","Nuggets","DEN","Guard","0",69
"Khyri","Thomas","Pistons","DET","Guard","13",75
"Lance","Thomas","Knicks","NYK","Forward","42",80
"Klay","Thompson","Warriors","GSW","Guard","11",79
"Tristan","Thompson","Cavaliers","CLE","Center-Forward","13",82
"Sindarius","Thornwell","Clippers","LAC","Guard","0",77
"Anthony","Tolliver","Timberwolves","MIN","Forward","43",80
"Karl-Anthony","Towns","Timberwolves","MIN","Center","32",84
"Gary","Trent Jr.","Blazers","POR","Guard","9",78
"Allonzo","Trier","Knicks","NYK","Guard","14",77
"PJ","Tucker","Rockets","HOU","Forward","17",78
"Evan","Turner","Blazers","POR","Guard-Forward","1",79
"Myles","Turner","Pacers","IND","Center-Forward","33",83
"Ekpe","Udoh","Jazz","UTA","Center-Forward","33",82
"Tyler","Ulis","Bulls","CHI","Guard","0",70
"Jonas","Valanciunas","Raptors","TOR","Center","17",84
"Denzel","Valentine","Bulls","CHI","Guard","45",78
"Jarred","Vanderbilt","Nuggets","DEN","Forward","8",81
"Fred","VanVleet","Raptors","TOR","Guard","23",72
"Noah","Vonleh","Knicks","NYK","Forward","32",81
"Nikola","Vucevic","Magic","ORL","Center","9",84
"Dwyane","Wade","Heat","MIA","Guard","3",76
"Moritz","Wagner","Lakers","LAL","Center","15",83
"Dion","Waiters","Heat","MIA","Guard","11",76
"Lonnie","Walker IV","Spurs","SAS","Guard","1",77
"Kemba","Walker","Hornets","CHA","Guard","15",73
"Tyrone","Wallace","Clippers","LAC","Guard","9",77
"John","Wall","Wizards","WAS","Guard","2",76
"Brad","Wanamaker","Celtics","BOS","Guard","9",76
"T.J.","Warren","Suns","PHX","Forward","12",80
"Yuta","Watanabe","Grizzlies","MEM","Guard","12",81
"Thomas","Welsh","Nuggets","DEN","Center","45",84
"Russell","Westbrook","Thunder","OKC","Guard","0",75
"Derrick","White","Spurs","SAS","Guard","4",76
"Okaro","White","Wizards","WAS","Forward","15",80
"Hassan","Whiteside","Heat","MIA","Center","21",84
"Andrew","Wiggins","Timberwolves","MIN","Forward-Guard","22",80
"Robert","Williams III","Celtics","BOS","Center-Forward","44",82
"Alan","Williams","Nets","BKN","Forward-Center","15",80
"C.J.","Williams","Timberwolves","MIN","Guard","12",77
"Johnathan","Williams","Lakers","LAL","Forward","19",81
"Kenrich","Williams","Pelicans","NOP","Guard-Forward","34",79
"Lou","Williams","Clippers","LAC","Guard","23",73
"Marvin","Williams","Hornets","CHA","Forward","2",81
"Troy","Williams","Kings","SAC","Forward","19",79
"D.J.","Wilson","Bucks","MIL","Forward","5",82
"Justise","Winslow","Heat","MIA","Forward","20",79
"Christian","Wood","Bucks","MIL","Forward","35",82
"Delon","Wright","Raptors","TOR","Guard","55",77
"Guerschon","Yabusele","Celtics","BOS","Forward","30",80
"Thaddeus","Young","Pacers","IND","Forward","21",80
"Trae","Young","Hawks","ATL","Guard","11",74
"Cody","Zeller","Hornets","CHA","Center","40",84
