"effective_date","state","region","ado","city","county","facility_name","ownership","use","location_id","site_number","arp_latitude","arp_longitude","cert_type_date"
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","AVIATOR HOTEL ANCHORAGE","PR","PR","99AA","50033.24*H","61-13-08.0600N","149-53-11.3300W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","BOLD","PU","PU","A13","50033.5*A","61-20-28.8200N","148-59-55.9700W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","CAMPBELL AIRSTRIP","PU","PR","CSR","50033.*A","61-09-31.3200N","149-46-50.2000W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","CAMPBELL BLM","PU","PR","AK82","50033.2*H","61-09-22.0700N","149-47-32.2800W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","CAMPBELL LAKE SPB","PR","PU","3C3","50035.2*C","61-07-59.0200N","149-56-30.8400W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","ELMENDORF AFB","MA","PR","EDF","50036.*A","61-15-04.8715N","149-48-23.4924W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","ELMENDORF HOSPITAL","MA","PR","AK91","50036.01*H","61-14-23.0230N","149-44-57.9280W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","FIRE ISLAND","PU","PR","6AK5","50036.02*A","61-10-06.0140N","150-09-37.9930W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","FLYING CROWN","PR","PR","AK12","50033.4*A","61-06-23.7600N","149-51-51.3700W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","LAKE HOOD","PU","PU","LHD","50037.*C","61-10-53.9000N","149-57-59.4000W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","MERRILL FIELD","PU","PU","MRI","50035.*A","61-12-48.7622N","149-50-41.0069W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","PACER PLACE","PR","PR","PA06","50036.16*H","61-07-46.9000N","149-47-45.3000W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","PROVIDENCE HOSPITAL","PR","PR","AK38","50033.01*H","61-11-20.5100N","149-49-18.5900W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ALEUTIAN ISLANDS","SIXMILE LAKE","PR","PR","AA06","50033.02*A","61-17-23.0000N","149-48-22.0000W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","SKY HARBOR","PR","PR","9AK5","50036.1*A","61-06-59.3300N","149-49-07.5700W",NA
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ANCHORAGE","TED STEVENS ANCHORAGE INTL","PU","PU","ANC","50034.*A","61-10-26.9634N","149-59-53.4791W","I E S 04/2005"
2018-07-19,"AK","AAL","NONE","ANCHORAGE","ALEUTIAN ISLANDS","VIKING","PR","PR","AA04","50033.03*H","61-13-29.1900N","149-50-20.7400W",NA
2018-07-19,"AK","AAL","NONE","ANGOON","ANGOON","ANGOON","PU","PU","AGN","50037.6*C","57-30-12.7990N","134-35-06.3380W",NA
2018-07-19,"AK","AAL","NONE","ANIAK","BETHEL","ANIAK","PU","PU","ANI","50038.*A","61-34-53.7490N","159-32-34.9540W",NA
2018-07-19,"AK","AAL","NONE","ANNETTE","KETCHIKAN GATEWAY","ANNETTE ISLAND","PR","PR","ANN","50039.*A","55-02-32.2569N","131-34-15.2377W",NA
2018-07-19,"AK","AAL","NONE","ANNETTE","KETCHIKAN GATEWAY","TAMGAS HARBOR","PU","PU","Z43","50039.01*C","55-04-04.7720N","131-33-25.0370W",NA
2018-07-19,"AK","AAL","NONE","ANVIK","YUKON-KOYUKUK","ANVIK","PU","PU","ANV","50039.1*A","62-38-50.4000N","160-11-24.2000W",NA
2018-07-19,"AK","AAL","NONE","ANVIK","KUSKOKWIM","ANVIK","PU","PU","K40","50039.11*C","62-39-22.4060N","160-12-19.6150W",NA
2018-07-19,"AK","AAL","NONE","ARCTIC VILLAGE","UPPER YUKON","ARCTIC VILLAGE","PU","PU","ARC","50039.8*A","68-06-52.8100N","145-34-45.8950W",NA
2018-07-19,"AK","AAL","NONE","ATKA","ALEUTIANS WEST","ATKA","PU","PU","AKA","50040.5*A","52-13-14.1000N","174-12-22.3000W",NA
2018-07-19,"AK","AAL","NONE","ATMAUTLUAK","BETHEL","ATMAUTLUAK","PU","PU","4A2","50044.*A","60-52-04.4000N","162-16-27.4000W",NA
2018-07-19,"AK","AAL","NONE","ATQASUK","NORTH SLOPE","ATQASUK EDWARD BURNELL SR MEMORIAL","PU","PU","ATK","50044.5*A","70-28-01.6000N","157-26-08.4000W",NA
2018-07-19,"AK","AAL","NONE","ATTU","ALEUTIAN ISLANDS","CASCO COVE CGS","CG","PR","ATU","50046.*A","52-49-57.1500N","173-10-31.9950E",NA
2018-07-19,"AK","AAL","NONE","BARANOF","WRANGELL-PETERSBURG","BARANOF WARM SPRINGS FLOAT AND SEAPLANE FLOAT","PU","PU","BNF","50053.*C","57-05-19.7730N","134-49-59.3090W",NA
2018-07-19,"AK","AAL","NONE","BARROW","NORTH SLOPE","WILEY POST-WILL ROGERS MEMORIAL","PU","PU","BRW","50054.3*A","71-17-05.5000N","156-46-06.9000W","I B S 03/2005"
2018-07-19,"AK","AAL","NONE","BARTER ISLAND","UPPER YUKON","BARTER ISLAND","PU","PU","BTI","50055.5*A","70-06-47.2000N","143-39-13.0000W",NA
2018-07-19,"AK","AAL","NONE","BARTLETT COVE","SKAGWAY-YAKUTAT","BARTLETT COVE","PU","PU","BQV","50056.*C","58-27-18.7480N","135-53-06.6120W",NA
2018-07-19,"AK","AAL","NONE","BASIN CREEK","NOME","BASIN CREEK","PR","PU","Z47","50056.5*A","64-40-44.7250N","165-17-57.1250W",NA
2018-07-19,"AK","AAL","NONE","BEAR CREEK","KOBUK","BEAR CREEK 1","PU","PR","AK02","50057.*A","65-32-23.5920N","161-03-44.5600W",NA
2018-07-19,"AK","AAL","NONE","BEAR CREEK","KUSKOKWIM","BEAR CREEK 3","PU","PU","Z48","50057.2*A","63-34-17.7930N","156-08-38.5820W",NA
2018-07-19,"AK","AAL","NONE","BEAR LAKE","ALEUTIAN ISLANDS","JOHNSONS LANDING","PU","PU","Z52","50057.4*A","56-02-12.0680N","160-15-58.3390W",NA
2018-07-19,"AK","AAL","NONE","BEAVER","YUKON-KOYUKUK","BEAVER","PU","PU","WBQ","50058.*A","66-21-44.0000N","147-24-23.4000W",NA
2018-07-19,"AK","AAL","NONE","BELL ISLAND","KETCHIKAN GATEWAY","BELL ISLAND HOT SPRINGS","PR","PR","KBE","50059.9*C","55-55-44.6810N","131-34-18.0860W",NA
2018-07-19,"AK","AAL","NONE","BELUGA","KENAI-COOK INLET","BELUGA","PR","PR","BLG","50059.95*A","61-10-22.6628N","151-02-43.4987W",NA
2018-07-19,"AK","AAL","NONE","BETHEL","BETHEL","BETHEL","PU","PU","Z59","50060.2*C","60-46-55.2910N","161-44-35.2640W",NA
2018-07-19,"AK","AAL","NONE","BETHEL","BETHEL","BETHEL","PU","PU","BET","50061.1*A","60-46-42.8000N","161-50-13.8000W","I B S 04/2005"
2018-07-19,"AK","AAL","NONE","BETHEL","BETHEL","HANGAR LAKE","PU","PU","Z58","50060.1*C","60-47-48.2930N","161-43-38.2670W",NA
2018-07-19,"AK","AAL","NONE","BETTLES","YUKON-KOYUKUK","BETTLES","PU","PU","BTT","50062.*A","66-54-50.2000N","151-31-44.6000W",NA
2018-07-19,"AK","AAL","NONE","BETTLES","YUKON-KOYUKUK","VOR LAKE WATERLANE","PU","PU","2A4","50062.01*C","66-53-14.8000N","151-29-38.9000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","BEAVER LAKE","PU","PU","D71","50068.65*C","61-34-30.5000N","149-50-51.6000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","BIG LAKE","PU","PU","BGQ","50068.6*A","61-32-04.8600N","149-48-45.1600W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","BROCKER LAKE","PU","PU","6A7","50068.69*C","61-28-54.6200N","149-46-23.6800W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","BROWN'S HOMESTEAD","PR","PR","95AK","50068.681*A","61-28-21.4300N","149-58-56.8900W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","COWELL'S","PR","PR","68AK","50068.66*H","61-30-59.6900N","149-55-51.8900W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","CUBDIVISION","PR","PR","9AK7","50068.63*A","61-35-23.3900N","149-48-59.9800W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","EAGLES ROOST","PR","PR","AA10","50068.71*A","61-31-52.0700N","149-42-03.3800W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","FISHER","PR","PR","08AK","50068.58*A","61-34-10.7000N","149-43-27.9800W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","H & H FIELD","PR","PR","02AA","50068.5*A","61-30-24.0000N","149-54-43.0000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","HAGGARDS LANDING SEAPLANE BASE","PR","PR","AK48","50068.72*C","61-31-40.8000N","150-00-52.8000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","HOPPE'S","PR","PR","86AK","50068.53*C","61-33-05.1500N","149-56-44.7000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","HORSESHOE LAKE","PR","PR","AA02","50068.52*C","61-34-17.3300N","149-55-26.8000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","JONES LANDING","PU","PU","L95","50068.67*C","61-33-17.1800N","149-56-21.6100W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","KRAMER","PR","PR","AK86","50068.57*A","61-34-24.7400N","149-54-40.8600W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","KUCERA","PR","PR","91AK","50068.54*C","61-34-35.0000N","149-56-36.0000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","KUCERA RESIDENCE","PR","PR","63AK","50068.64*A","61-35-03.5900N","149-56-17.1600W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","ALEUTIAN ISLANDS","MARION","PR","PR","85AK","50068.*C","61-30-33.0000N","149-54-31.0000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","OWEN FIELD","PR","PR","20AK","50068.56*A","61-30-13.6400N","149-53-45.7600W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","ANCHORAGE","SADDLEBACK ISLAND","PR","PR","AA07","50068.68*H","61-31-17.6700N","149-55-37.7000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","TEAM LEVINE","PR","PR","AK87","50068.61*H","61-30-53.5000N","149-55-44.4400W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","TWIN LAKE","PR","PR","AK95","50068.62*A","61-34-13.3200N","149-46-44.5400W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","WEST BEAVER","PR","PR","09AK","50068.59*A","61-35-21.7000N","149-50-50.4000W",NA
2018-07-19,"AK","AAL","NONE","BIG LAKE","MATANUSKA-SUSITNA","WEST BEAVER","PR","PR","AA01","50068.51*C","61-35-05.8600N","149-50-47.5100W",NA
2018-07-19,"AK","AAL","NONE","BIG MOUNTAIN","KODIAK ISLAND","BIG MOUNTAIN","MA","PR","37AK","50068.7*A","59-21-40.4880N","155-15-31.7570W",NA
2018-07-19,"AK","AAL","NONE","BIRCH CREEK","YUKON-KOYUKUK","BIRCH CREEK","PU","PU","Z91","50068.78*A","66-16-28.1000N","145-49-05.5000W",NA
2018-07-19,"AK","AAL","NONE","BIRCHWOOD","ANCHORAGE","BIRCHWOOD","PU","PU","BCV","50069.*A","61-24-57.5900N","149-30-32.1300W",NA
2018-07-19,"AK","AAL","NONE","BLACK RAPIDS","FAIRBANKS NORTH STAR","BLACK RAPIDS","PU","PU","5BK","50070.*A","63-32-06.5270N","145-51-39.1900W",NA
2018-07-19,"AK","AAL","NONE","BOSWELL BAY","CORDOVA-MCCARTHY","BOSWELL BAY","PU","PR","AK97","50071.72*A","60-25-23.0310N","146-08-45.2740W",NA
2018-07-19,"AK","AAL","NONE","BOUNDARY","SOUTHEAST FAIRBANKS","BOUNDARY","PU","PU","BYA","50072.*A","64-04-41.8900N","141-06-48.1500W",NA
2018-07-19,"AK","AAL","NONE","BREVIG MISSION","NOME","BREVIG MISSION","PU","PU","KTS","50072.5*A","65-19-52.8000N","166-27-56.6000W",NA
2018-07-19,"AK","AAL","NONE","BUCK CREEK","NOME","BUCK CREEK","PU","PR","AK98","50073.*A","65-38-19.2190N","167-29-08.9050W",NA
2018-07-19,"AK","AAL","NONE","BUCKLAND","NORTHWEST ARCTIC","BUCKLAND","PU","PU","BVK","50073.1*A","65-58-53.6000N","161-08-56.9000W",NA
2018-07-19,"AK","AAL","NONE","CANDLE","UNORGANIZED","CANDLE 2","PR","PR","AK75","50075.1*A","65-54-27.5690N","161-55-34.7010W",NA
2018-07-19,"AK","AAL","NONE","CANTWELL","MATANUSKA-SUSITNA","CANTWELL","PR","PU","TTW","50078.*A","63-23-28.3370N","148-57-20.2190W",NA
2018-07-19,"AK","AAL","NONE","CANTWELL","YUKON-KOYUKUK","GOLDEN NORTH AIRFIELD","PR","PR","15AK","50078.12*A","63-22-14.3400N","148-51-01.2100W",NA
2018-07-19,"AK","AAL","NONE","CAPE DECISION","WRANGELL-PETERSBURG","CAPE DECISION LIGHTHOUSE","PU","PR","CDE","50080.6*H","56-00-07.6070N","134-08-07.2210W",NA
2018-07-19,"AK","AAL","NONE","CAPE LISBURNE","BARROW","CAPE LISBURNE LRRS","MA","PR","LUR","50082.*A","68-52-30.4600N","166-06-39.8950W",NA
2018-07-19,"AK","AAL","NONE","CAPE NEWENHAM","BETHEL","CAPE NEWENHAM LRRS","MA","PR","EHM","50084.*A","58-38-53.3400N","162-03-49.6900W",NA
2018-07-19,"AK","AAL","NONE","CAPE POLE","PRINCE OF WALES","CAPE POLE","PR","PU","Z71","50086.*C","55-57-58.6440N","133-47-48.1960W",NA
2018-07-19,"AK","AAL","NONE","CAPE ROMANZOF","KUSILVAK","CAPE ROMANZOF LRRS","MA","PR","CZF","50088.*A","61-46-51.6550N","166-02-22.4750W",NA
2018-07-19,"AK","AAL","NONE","CAPE SARICHEF","ALEUTIAN ISLANDS","CAPE SARICHEF","PU","PR","26AK","50088.3*A","54-34-56.7520N","164-54-52.1310W",NA
2018-07-19,"AK","AAL","NONE","CAPE SPENCER","SKAGWAY-YAKUTAT","CAPE SPENCER C G","PU","PR","CSP","50088.53*H","58-11-56.6470N","136-38-19.7180W",NA
2018-07-19,"AK","AAL","NONE","CENTRAL","YUKON-KOYUKUK","CENTRAL","PU","PU","CEM","50090.*A","65-34-26.2000N","144-46-51.2000W",NA
2018-07-19,"AK","AAL","NONE","CHALKYITSIK","YUKON-KOYUKUK","CHALKYITSIK","PU","PU","CIK","50092.*A","66-38-42.1000N","143-44-23.6000W",NA
2018-07-19,"AK","AAL","NONE","CHANDALAR CAMP","YUKON-KOYUKUK","CHANDALAR SHELF","PU","PU","5CD","50093.95*A","68-03-55.5820N","149-34-47.0610W",NA
2018-07-19,"AK","AAL","NONE","CHANDALAR LAKE","YUKON-KOYUKUK","CHANDALAR LAKE","PU","PU","WCR","50094.3*A","67-30-16.2600N","148-28-59.6000W",NA
2018-07-19,"AK","AAL","NONE","CHATHAM","SITKA","CHATHAM","PR","PR","05AA","50095.*C","57-30-53.7780N","134-56-46.3740W",NA
2018-07-19,"AK","AAL","NONE","CHEFORNAK","BETHEL","CHEFORNAK","PU","PU","CFK","50095.12*A","60-08-12.5000N","164-16-44.6000W",NA
2018-07-19,"AK","AAL","NONE","CHENA HOT SPRINGS","FAIRBANKS NORTH STAR","CHENA HOT SPRINGS","PR","PR","AK13","50095.4*A","65-03-06.5720N","146-02-50.7550W",NA
2018-07-19,"AK","AAL","NONE","CHENEGA","VALDEZ-CORDOVA","CHENEGA BAY","PU","PU","C05","50095.7*A","60-04-42.8200N","147-59-41.0450W",NA
2018-07-19,"AK","AAL","NONE","CHEVAK","KUSILVAK","CHEVAK","PU","PU","VAK","50096.22*A","61-32-27.0400N","165-36-03.2100W",NA
2018-07-19,"AK","AAL","NONE","CHICKALOON","MATANUSKA-SUSITNA","CASTLE MOUNTAIN AIRSTRIP","PR","PR","48AK","50096.9*A","61-47-35.1200N","148-29-32.9860W",NA
2018-07-19,"AK","AAL","NONE","CHICKEN","SOUTHEAST FAIRBANKS","CHICKEN","PU","PU","CKX","50097.*A","64-04-00.3050N","141-57-04.8500W",NA
2018-07-19,"AK","AAL","NONE","CHIGNIK","LAKE AND PENINSULA","CHIGNIK","PU","PU","AJC","50097.53*A","56-18-41.2655N","158-22-23.6575W",NA
2018-07-19,"AK","AAL","NONE","CHIGNIK","ALEUTIAN ISLANDS","CHIGNIK BAY","PU","PU","Z78","50097.5*C","56-17-44.1980N","158-24-05.3270W",NA
2018-07-19,"AK","AAL","NONE","CHIGNIK LAGOON","LAKE AND PENINSULA","CHIGNIK LAGOON","PU","PU","KCL","50097.51*A","56-18-39.4800N","158-32-04.1500W",NA
2018-07-19,"AK","AAL","NONE","CHIGNIK LAKE","LAKE AND PENINSULA","CHIGNIK LAKE","PU","PU","A79","50097.54*A","56-15-19.6450N","158-46-40.1950W",NA
2018-07-19,"AK","AAL","NONE","CHISANA","VALDEZ-CORDOVA","CHISANA","PU","PU","CZN","50099.*A","62-04-18.3000N","142-02-57.6600W",NA
2018-07-19,"AK","AAL","NONE","CHISTOCHINA","VALDEZ-CORDOVA","CHISTOCHINA","PU","PU","CZO","50101.*A","62-33-44.4000N","144-40-20.8000W",NA
2018-07-19,"AK","AAL","NONE","CHITINA","VALDEZ-CORDOVA","CHITINA","PU","PU","CXC","50103.*A","61-34-59.5300N","144-25-47.2900W",NA
2018-07-19,"AK","AAL","NONE","CHUATHBALUK","BETHEL","CHUATHBALUK","PU","PU","9A3","50104.37*A","61-34-44.6000N","159-12-56.3000W",NA
2018-07-19,"AK","AAL","NONE","CHUGIAK","ANCHORAGE","HILLTOP","PR","PR","AK24","50104.45*A","61-25-04.3000N","149-26-22.1600W",NA
2018-07-19,"AK","AAL","NONE","CIRCLE","YUKON-KOYUKUK","CIRCLE CITY","PU","PU","CRC","50106.5*A","65-49-40.5000N","144-04-34.3100W",NA
2018-07-19,"AK","AAL","NONE","CIRCLE HOT SPRINGS","YUKON-KOYUKUK","CIRCLE HOT SPRINGS","PU","PU","CHP","50108.*A","65-29-09.2650N","144-36-42.0650W",NA
2018-07-19,"AK","AAL","NONE","CLAM GULCH","KENAI PENINSULA","HACKNEY LANDING","PR","PR","96AK","50108.1*C","60-17-16.0200N","151-20-46.0400W",NA
2018-07-19,"AK","AAL","NONE","CLARKS POINT","DILLINGHAM","CLARKS POINT","PU","PU","CLP","50108.3*A","58-50-01.3000N","158-31-45.8000W",NA
2018-07-19,"AK","AAL","NONE","CLEAR","DENALI","CLEAR","PU","PU","Z84","50109.01*A","64-18-01.4000N","149-06-59.5000W",NA
2018-07-19,"AK","AAL","NONE","CLEAR","YUKON-KOYUKUK","CLEAR SKY LODGE","PR","PU","CLF","50109.11*A","64-15-25.3230N","149-11-10.5010W",NA
2018-07-19,"AK","AAL","NONE","COFFMAN COVE","PRINCE OF WALES","COFFMAN COVE","PU","PU","KCC","50112.6*C","56-00-53.2940N","132-50-02.1210W",NA
2018-07-19,"AK","AAL","NONE","COLD BAY","ALEUTIAN ISLANDS","BLINN LAKE","PU","PU","Z87","50114.01*C","55-15-05.8580N","162-45-12.2560W",NA
2018-07-19,"AK","AAL","NONE","COLD BAY","ALEUTIANS EAST","COLD BAY","PU","PU","CDB","50114.*A","55-12-21.2886N","162-43-34.5069W","I B S 04/2005"
2018-07-19,"AK","AAL","NONE","COLD BAY","ALEUTIANS EAST","PORT MOLLER","PU","PR","1AK3","50114.02*A","56-00-21.5490N","160-33-38.8510W",NA
2018-07-19,"AK","AAL","NONE","COLDFOOT","YUKON-KOYUKUK","COLDFOOT","PU","PU","CXF","50114.35*A","67-15-07.9000N","150-12-14.0000W",NA
2018-07-19,"AK","AAL","NONE","COLORADO CREEK","KUSKOKWIM","COLORADO CREEK","PR","PR","KCR","50116.*A","63-34-03.8030N","155-59-20.5570W",NA
2018-07-19,"AK","AAL","NONE","COOPER LANDING","KENAI PENINSULA","QUARTZ CREEK","PU","PU","JLA","50121.5*A","60-29-03.3500N","149-43-22.4400W",NA
2018-07-19,"AK","AAL","NONE","COPPER CENTER","VALDEZ-CORDOVA","COPPER CENTER 2","PU","PU","Z93","50122.1*A","61-56-28.2840N","145-17-38.6910W",NA
2018-07-19,"AK","AAL","NONE","CORDOVA","VALDEZ-CORDOVA","CORDOVA MUNI","PU","PU","CKU","50125.*A","60-32-37.1200N","145-43-33.0750W",NA
2018-07-19,"AK","AAL","NONE","CORDOVA","VALDEZ-CORDOVA","MERLE K (MUDHOLE) SMITH","PU","PU","CDV","50124.*A","60-29-30.4000N","145-28-39.2000W","I B S 04/2005"
2018-07-19,"AK","AAL","NONE","CORDOVA","CORDOVA-MCCARTHY","STRAWBERRY POINT","PR","PR","AK30","50124.5*A","60-23-28.1500N","146-05-50.8700W",NA
2018-07-19,"AK","AAL","NONE","COUNCIL","NOME","COUNCIL","PU","PU","K29","50127.*A","64-53-48.2900N","163-42-12.5950W",NA
2018-07-19,"AK","AAL","NONE","CRAIG","PRINCE OF WALES","CRAIG","PU","PU","CGA","50130.*C","55-28-43.7930N","133-08-52.0840W",NA
2018-07-19,"AK","AAL","NONE","CRAIG","PRINCE OF WALES","CRAIG CG","CG","PR","1AK0","50130.1*H","55-28-30.7930N","133-08-45.0830W",NA
2018-07-19,"AK","AAL","NONE","CRAIG","KETCHIKAN GATEWAY","EL CAPITAN LODGE","PR","PU","5C5","50130.01*C","55-57-30.9200N","133-15-12.1400W",NA
2018-07-19,"AK","AAL","NONE","CREVICE CREEK","YUKON-KOYUKUK","CREVICE CREEK","PR","PR","1AK1","50130.4*A","67-22-22.3400N","152-00-57.8800W",NA
2018-07-19,"AK","AAL","NONE","CROOKED CREEK","BETHEL","CROOKED CREEK","PU","PU","CJX","50132.1*A","61-52-04.4000N","158-08-05.8000W",NA
2018-07-19,"AK","AAL","NONE","CROOKED CREEK","BETHEL","DONLIN CREEK","PR","PR","01AA","50132.11*A","62-01-56.9150N","158-14-11.0550W",NA
2018-07-19,"AK","AAL","NONE","CROSSWIND LAKE","VALDEZ-CHITNA-WHITIE","CROSSWIND LAKE","PR","PR","1AK2","50132.4*A","62-24-03.3910N","146-00-47.8970W",NA
2018-07-19,"AK","AAL","NONE","DAHL CREEK","NORTHWEST ARCTIC","DAHL CREEK","PU","PU","DCK","50135.1*A","66-56-33.2211N","156-53-28.9271W",NA
2018-07-19,"AK","AAL","NONE","DEADHORSE","NORTH SLOPE","ALPINE AIRSTRIP","PR","PR","AK15","50140.72*A","70-20-39.4000N","150-56-41.1000W",NA
2018-07-19,"AK","AAL","NONE","DEADHORSE","NORTH SLOPE","BADAMI","PR","PR","AK78","50140.73*A","70-08-14.8800N","147-01-49.5800W",NA
2018-07-19,"AK","AAL","NONE","DEADHORSE","NORTH SLOPE","CENTRAL PAD","PR","PR","AA03","50140.75*H","70-10-16.6246N","146-15-30.8507W",NA
